text,label,timestamp,username,device,likes,retweets,replies
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Bug Report,15/01/2024 3:10,@user_5870,Web,155,12,13
The UI feels laggy after the latest update. Animations take forever to load.,Security Issue,13/01/2024 8:05,@user_9119,Web,178,29,24
The UI feels laggy after the latest update. Animations take forever to load.,Question,1/01/2024 11:04,@user_2956,Android,86,25,6
Can someone explain how to set up a webhook for real-time notifications?,Question,15/01/2024 1:32,@user_1122,Web,12,40,7
🚨 Huge security flaw: Password reset emails contain sensitive user data in plaintext. @Company please fix!,Bug Report,13/01/2024 9:45,@user_8190,iPhone,70,40,12
Has anyone tested the latest beta? Is it worth updating?,Feature Request,24/01/2024 16:33,@user_3336,Android,103,32,7
🚨 Security vulnerability found: Anyone can access user profiles without authentication. @Company please fix this ASAP!,Discussion,28/01/2024 20:12,@user_1862,Android,185,27,15
The app's search function is broken. It doesn't return relevant results anymore.,Performance Issue,18/01/2024 16:50,@user_1628,Web,130,25,12
Can we get an option to auto-delete old messages after 30 days?,Question,30/01/2024 7:19,@user_8831,Android,40,34,9
The new AI recommendations are completely off. They used to be much better!,Feature Request,10/01/2024 19:20,@user_9868,Web,158,30,9
Multi-account login would be a game-changer. Any plans to add this?,Security Issue,5/01/2024 4:36,@user_8900,Web,209,43,29
Why was the live chat feature removed? That was the best part of the app!,Security Issue,2/01/2024 8:09,@user_7150,Android,34,23,26
Can we get an option to auto-delete old messages after 30 days?,Performance Issue,22/01/2024 17:32,@user_3497,Web,299,34,16
The app crashes on Android 11 when I open settings. Anyone else facing this?,Bug Report,29/01/2024 1:31,@user_6178,Android,36,37,10
Keyboard shortcuts for power users would be amazing! Any plans?,Feedback,16/01/2024 11:07,@user_4610,Web,228,11,27
Loading time increased significantly after the last update. Feels super sluggish now 😕,Discussion,1/01/2024 10:50,@user_7050,iPhone,154,47,18
Your new terms of service update is concerning. Can you clarify the data-sharing policies?,Feature Request,13/01/2024 8:54,@user_2450,Web,235,41,18
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Security Issue,30/01/2024 21:04,@user_4096,Web,166,29,14
Why does the app log me out randomly? It's really annoying.,Performance Issue,15/01/2024 11:23,@user_6007,iPhone,66,5,21
The app keeps asking me to log in every time I open it. Super annoying.,Feature Request,23/01/2024 4:24,@user_1457,Web,176,49,4
My messages aren’t syncing across devices. Really frustrating. Any fixes?,Feature Request,22/01/2024 13:54,@user_1289,iPhone,99,10,27
Great update! The new UI is much smoother. Well done team! 🎉,Performance Issue,3/01/2024 19:13,@user_8847,iPhone,223,42,10
How do I enable 2FA for my account? I can't find the option in settings.,Feedback,1/01/2024 14:34,@user_5844,Android,268,32,4
How do I enable end-to-end encryption for my messages?,Performance Issue,23/01/2024 17:15,@user_5911,iPhone,107,46,18
🚨 Huge security flaw: Password reset emails contain sensitive user data in plaintext. @Company please fix!,Feature Request,28/01/2024 10:05,@user_3782,Web,239,19,29
Why is the AI assistant so slow to respond? It used to be much faster.,Feature Request,3/01/2024 23:35,@user_5165,Web,100,33,20
Can we get an option to auto-delete old messages after 30 days?,Feature Request,27/01/2024 0:15,@user_8236,Android,280,7,22
Can we get a feature to customize notification sounds? It would be super helpful!,Feature Request,5/01/2024 5:39,@user_9777,iPhone,269,38,14
Can someone explain how to use OAuth for third-party API integrations?,Security Issue,29/01/2024 3:06,@user_9306,iPhone,80,44,3
I love the new offline mode! Works flawlessly even with large files. 🔥,Question,28/01/2024 4:57,@user_9374,iPhone,22,6,29
"The app now loads twice as fast! Whatever you did, keep it up! 🚀",Bug Report,25/01/2024 14:06,@user_5920,Web,134,37,17
Why was the live chat feature removed? That was the best part of the app!,Security Issue,25/01/2024 22:34,@user_4085,iPhone,21,33,13
The new API documentation is so much better! Really easy to understand.,Bug Report,20/01/2024 21:25,@user_5485,Web,94,8,25
Does anyone know how to set up a webhook for real-time notifications?,Question,22/01/2024 15:59,@user_2810,Web,115,28,5
The search function is broken. It doesn’t return relevant results anymore.,Bug Report,10/01/2024 4:50,@user_1453,Web,277,41,17
The dark mode contrast is too high. Hurts my eyes at night. Any fixes?,Feature Request,29/01/2024 9:14,@user_2512,Android,294,49,5
Can we get an option to auto-delete old messages after 30 days?,Discussion,19/01/2024 20:25,@user_6521,iPhone,33,22,9
The app keeps asking me to log in every time I open it. Super annoying.,Security Issue,11/01/2024 5:03,@user_9319,iPhone,201,45,30
How do I enable end-to-end encryption for my messages?,Discussion,28/01/2024 8:48,@user_1965,iPhone,99,45,5
Can someone explain how to use OAuth for third-party API integrations?,Discussion,12/01/2024 21:27,@user_7355,Web,76,13,23
The latest update broke my notifications. I’m not receiving any alerts at all. Anyone else?,Question,28/01/2024 11:03,@user_2251,iPhone,231,6,7
How do I enable end-to-end encryption for my messages?,Bug Report,28/01/2024 8:48,@user_7924,Android,68,23,3
Loading time increased significantly after the last update. Feels super sluggish now 😕,Bug Report,29/01/2024 3:45,@user_6977,Android,122,39,10
Can someone explain how to set up a webhook for real-time notifications?,Performance Issue,10/01/2024 19:01,@user_7172,Web,129,15,23
The app's search function is broken. It doesn't return relevant results anymore.,Performance Issue,21/01/2024 19:23,@user_4323,Web,210,6,10
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Bug Report,10/01/2024 5:44,@user_9529,iPhone,213,33,9
The app's battery usage is insane! It drains my phone in just a few hours.,Question,1/01/2024 0:48,@user_2225,iPhone,52,10,27
Can someone explain how to use OAuth for third-party API integrations?,Performance Issue,24/01/2024 2:09,@user_8276,iPhone,173,43,25
The new AI recommendations are completely off. They used to be much better!,Bug Report,13/01/2024 14:28,@user_9333,Android,138,40,16
"Dark mode is great, but can we get an option to schedule it automatically?",Security Issue,22/01/2024 3:24,@user_9786,iPhone,238,37,3
"The app now loads twice as fast! Whatever you did, keep it up! 🚀",Question,10/01/2024 22:28,@user_4220,Android,221,35,7
Is there a way to export my chat history? I need to keep a record of my conversations.,Feature Request,11/01/2024 4:13,@user_8339,Web,18,20,6
The app keeps asking me to log in every time I open it. Super annoying.,Discussion,15/01/2024 19:50,@user_6389,Android,238,43,28
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Discussion,2/01/2024 17:01,@user_7500,Web,208,44,8
The last update completely broke Bluetooth connectivity. Devices keep disconnecting randomly!,Performance Issue,27/01/2024 17:56,@user_8445,Android,47,39,18
Why was the live chat feature removed? That was the best part of the app!,Bug Report,7/01/2024 13:15,@user_3433,Web,139,16,27
Why does the battery drain so fast after the new patch? My phone barely lasts half a day!,Bug Report,11/01/2024 18:31,@user_9006,Web,189,5,28
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Performance Issue,27/01/2024 15:34,@user_9796,Web,271,50,7
Why is the AI assistant so slow to respond? It used to be much faster.,Feature Request,23/01/2024 11:05,@user_9039,Android,191,38,6
Your new terms of service update is concerning. Can you clarify the data-sharing policies?,Security Issue,28/01/2024 21:44,@user_3183,Android,65,48,12
The app keeps asking me to log in every time I open it. Super annoying.,Performance Issue,4/01/2024 3:16,@user_3758,Web,37,24,28
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Question,3/01/2024 18:24,@user_9287,iPhone,126,43,25
Why does the app log me out randomly? It's really annoying.,Security Issue,19/01/2024 23:04,@user_8961,Android,131,23,25
Your new terms of service update is concerning. Can you clarify the data-sharing policies?,Question,15/01/2024 2:18,@user_5220,iPhone,295,21,6
Why is the AI assistant so slow to respond? It used to be much faster.,Feedback,14/01/2024 15:54,@user_4795,Android,269,44,17
The new voice assistant is way too slow. Takes ages to process commands.,Performance Issue,11/01/2024 8:37,@user_5477,Web,57,6,14
The search function is broken. It doesn’t return relevant results anymore.,Feedback,20/01/2024 22:58,@user_1149,iPhone,276,36,19
"The new dark mode is awesome, but can we get an option to schedule it automatically?",Feedback,4/01/2024 8:27,@user_7814,iPhone,177,43,14
How do I enable end-to-end encryption for my messages?,Discussion,15/01/2024 5:41,@user_6123,Android,42,5,20
Can we get an option to auto-delete old messages after 30 days?,Question,25/01/2024 2:44,@user_8884,Web,147,6,17
Why does the app log me out randomly? It's really annoying.,Question,29/01/2024 2:35,@user_4818,iPhone,289,20,26
The new update is fantastic! The app runs so much smoother now. Great job!,Discussion,2/01/2024 16:22,@user_1056,Android,189,21,27
Great update! The new UI is much smoother. Well done team! 🎉,Security Issue,11/01/2024 15:19,@user_3185,iPhone,122,45,21
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Performance Issue,1/01/2024 19:50,@user_2477,Web,51,32,25
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Question,29/01/2024 22:06,@user_4106,iPhone,284,31,6
Can someone explain how to set up a webhook for real-time notifications?,Discussion,5/01/2024 3:33,@user_9744,iPhone,123,17,13
The latest update broke my notifications. I’m not receiving any alerts at all. Anyone else?,Security Issue,11/01/2024 5:18,@user_6871,iPhone,180,33,5
"The new dark mode is awesome, but can we get an option to schedule it automatically?",Feedback,25/01/2024 3:42,@user_8723,Android,201,47,25
"The new dark mode is awesome, but can we get an option to schedule it automatically?",Question,12/01/2024 22:56,@user_9974,Web,55,30,3
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Feedback,6/01/2024 9:22,@user_5166,Web,274,18,24
Keyboard shortcuts for power users would be amazing! Any plans?,Performance Issue,27/01/2024 12:08,@user_3778,Web,31,13,25
The app's search function is broken. It doesn't return relevant results anymore.,Question,22/01/2024 20:58,@user_4932,Android,277,17,4
How do I enable 2FA for my account? I can't find the option in settings.,Feedback,17/01/2024 5:41,@user_5802,iPhone,54,18,3
Why is the app using so much battery? It’s draining 10% in just 15 minutes!,Feedback,20/01/2024 5:49,@user_3451,Web,72,39,29
The app's battery usage is insane! It drains my phone in just a few hours.,Discussion,5/01/2024 4:27,@user_2044,Web,205,31,16
Has anyone tested the latest beta? Is it worth updating?,Performance Issue,22/01/2024 19:35,@user_2326,Android,165,17,21
Why is the app using so much battery? It’s draining 10% in just 15 minutes!,Security Issue,22/01/2024 7:04,@user_7467,Android,292,39,30
🚨 Huge security flaw: Password reset emails contain sensitive user data in plaintext. @Company please fix!,Bug Report,12/01/2024 1:01,@user_8904,Android,254,21,7
Loading time increased significantly after the last update. Feels super sluggish now 😕,Discussion,30/01/2024 21:56,@user_8729,Android,89,26,29
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Bug Report,29/01/2024 21:35,@user_8708,iPhone,294,34,29
Can we get a feature to customize notification sounds? It would be super helpful!,Feedback,21/01/2024 8:05,@user_8473,Web,297,27,17
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Feedback,18/01/2024 4:58,@user_9126,Web,73,36,8
Does anyone know how to set up a webhook for real-time notifications?,Performance Issue,4/01/2024 8:58,@user_9898,Android,93,5,16
The latest update broke my notifications. I’m not receiving any alerts at all. Anyone else?,Feedback,22/01/2024 21:24,@user_7541,Android,211,33,23
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Bug Report,11/01/2024 8:19,@user_9240,Android,182,39,16
I love the new offline mode! Works flawlessly even with large files. 🔥,Feedback,24/01/2024 12:32,@user_5337,Android,257,41,4
The new AI recommendations are completely off. They used to be much better!,Feature Request,29/01/2024 20:10,@user_9147,Android,196,40,27
Why does the API return a 500 error when querying large datasets? Is there a workaround?,Feature Request,19/01/2024 10:45,@user_3780,Android,254,25,7
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Feedback,5/01/2024 9:33,@user_7607,iPhone,200,47,11
Why does the battery drain so fast after the new patch? My phone barely lasts half a day!,Performance Issue,26/01/2024 21:13,@user_9985,Web,90,39,29
Does anyone know how to set up a webhook for real-time notifications?,Bug Report,14/01/2024 15:50,@user_6080,Web,65,42,12
Does anyone know how to set up a webhook for real-time notifications?,Security Issue,30/01/2024 5:29,@user_7918,Android,53,12,22
Loading time increased significantly after the last update. Feels super sluggish now 😕,Bug Report,12/01/2024 5:03,@user_1984,Web,57,50,9
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Question,15/01/2024 3:22,@user_3280,iPhone,91,24,13
Does anyone know how to set up a webhook for real-time notifications?,Performance Issue,8/01/2024 2:42,@user_4546,Web,111,22,4
The app keeps asking me to log in every time I open it. Super annoying.,Question,6/01/2024 16:04,@user_1834,Web,31,48,23
The new voice assistant is way too slow. Takes ages to process commands.,Bug Report,12/01/2024 10:29,@user_4197,Web,39,39,7
Can we get a feature to customize notification sounds? It would be super helpful!,Performance Issue,14/01/2024 8:21,@user_6178,Web,201,11,8
Great update! The new UI is much smoother. Well done team! 🎉,Feedback,25/01/2024 14:47,@user_2142,iPhone,215,26,16
The new AI recommendations are completely off. They used to be much better!,Bug Report,3/01/2024 14:59,@user_6084,Web,179,19,20
Why is the AI assistant so slow to respond? It used to be much faster.,Discussion,6/01/2024 12:01,@user_9249,Web,149,40,18
The app crashes every time I try to upload a photo. Anyone else having this issue?,Bug Report,25/01/2024 14:20,@user_2788,Android,264,45,30
Can someone explain how to set up a webhook for real-time notifications?,Performance Issue,24/01/2024 10:33,@user_3026,Android,180,25,16
The dark mode contrast is too high. Hurts my eyes at night. Any fixes?,Security Issue,25/01/2024 2:17,@user_5097,iPhone,234,22,15
The last update completely broke Bluetooth connectivity. Devices keep disconnecting randomly!,Bug Report,6/01/2024 18:54,@user_9826,iPhone,278,5,11
The new AI recommendations are completely off. They used to be much better!,Discussion,18/01/2024 2:44,@user_3906,Android,232,16,27
Can someone explain how to set up a webhook for real-time notifications?,Question,26/01/2024 3:13,@user_2056,Web,60,46,11
The latest update broke my notifications. I’m not receiving any alerts at all. Anyone else?,Question,30/01/2024 10:05,@user_9682,Web,131,12,19
The app's search function is broken. It doesn't return relevant results anymore.,Question,15/01/2024 14:05,@user_4920,iPhone,191,43,7
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Feature Request,10/01/2024 14:33,@user_6361,iPhone,29,8,27
Why is the app using so much battery? It’s draining 10% in just 15 minutes!,Question,9/01/2024 18:58,@user_6949,Android,167,6,12
"The new dark mode is awesome, but can we get an option to schedule it automatically?",Feedback,4/01/2024 5:05,@user_4749,iPhone,180,25,9
Why is the AI assistant so slow to respond? It used to be much faster.,Discussion,6/01/2024 8:25,@user_9664,iPhone,43,22,15
How do I enable 2FA for my account? I can't find the option in settings.,Performance Issue,19/01/2024 19:15,@user_9171,Android,22,23,18
🚨 Huge security flaw: Password reset emails contain sensitive user data in plaintext. @Company please fix!,Feature Request,24/01/2024 21:05,@user_6692,iPhone,64,17,14
Multi-account login would be a game-changer. Any plans to add this?,Discussion,22/01/2024 22:35,@user_5699,Web,265,30,27
Why is the AI assistant so slow to respond? It used to be much faster.,Bug Report,24/01/2024 12:49,@user_8291,iPhone,252,15,17
Your new terms of service update is concerning. Can you clarify the data-sharing policies?,Feedback,11/01/2024 3:35,@user_6045,iPhone,57,13,25
Why was the live chat feature removed? That was the best part of the app!,Discussion,4/01/2024 21:28,@user_9029,Android,14,29,10
Loading time increased significantly after the last update. Feels super sluggish now 😕,Security Issue,1/01/2024 17:20,@user_4273,Web,137,21,21
Can we get an option to auto-delete old messages after 30 days?,Feature Request,4/01/2024 3:48,@user_5214,Android,185,48,4
The new AI recommendations are completely off. They used to be much better!,Performance Issue,14/01/2024 0:27,@user_2980,Android,155,42,27
The app keeps asking me to log in every time I open it. Super annoying.,Performance Issue,12/01/2024 15:46,@user_1444,iPhone,102,32,6
Does anyone know how to set up a webhook for real-time notifications?,Bug Report,12/01/2024 0:54,@user_8437,Android,207,41,30
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Performance Issue,23/01/2024 13:08,@user_9754,iPhone,234,5,5
Why was the live chat feature removed? That was the best part of the app!,Bug Report,19/01/2024 8:09,@user_5861,iPhone,63,38,12
Can someone explain how to use OAuth for third-party API integrations?,Discussion,12/01/2024 22:13,@user_8405,Web,270,30,26
The new AI recommendations are completely off. They used to be much better!,Security Issue,14/01/2024 9:58,@user_6018,Android,144,31,7
The search function is broken. It doesn’t return relevant results anymore.,Performance Issue,16/01/2024 23:26,@user_8184,Android,87,5,24
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Question,15/01/2024 12:52,@user_3078,iPhone,288,17,30
Can we get an option to auto-delete old messages after 30 days?,Feature Request,8/01/2024 8:52,@user_4782,Android,16,33,27
Why is the app using so much battery? It’s draining 10% in just 15 minutes!,Security Issue,22/01/2024 20:26,@user_8600,iPhone,267,41,10
Does anyone know how to set up a webhook for real-time notifications?,Performance Issue,12/01/2024 5:33,@user_3803,Android,85,21,27
"The app now loads twice as fast! Whatever you did, keep it up! 🚀",Discussion,14/01/2024 2:28,@user_3547,Android,104,22,24
Can we get a feature to customize notification sounds? It would be super helpful!,Performance Issue,20/01/2024 22:45,@user_1033,Web,171,31,22
The new AI recommendations are completely off. They used to be much better!,Question,29/01/2024 18:17,@user_8989,Web,65,37,25
Can we get a feature to customize notification sounds? It would be super helpful!,Bug Report,19/01/2024 18:07,@user_4947,Web,142,44,19
"Hey @TechCorp, will there be an update to fix the keyboard lag issue? It’s driving me crazy!",Feedback,19/01/2024 13:47,@user_5109,iPhone,19,35,4
The app crashes every time I try to upload a photo. Anyone else having this issue?,Security Issue,27/01/2024 3:59,@user_7656,iPhone,22,20,13
The search function is broken. It doesn’t return relevant results anymore.,Security Issue,2/01/2024 14:39,@user_1292,Android,39,27,27
Can someone explain how to set up a webhook for real-time notifications?,Bug Report,22/01/2024 4:30,@user_4624,Android,145,47,4
Can someone explain how to use OAuth for third-party API integrations?,Discussion,3/01/2024 16:20,@user_3443,Android,247,9,11
Keyboard shortcuts for power users would be amazing! Any plans?,Discussion,6/01/2024 16:09,@user_2006,Web,70,40,18
The app crashes every time I try to upload a photo. Anyone else having this issue?,Performance Issue,29/01/2024 8:00,@user_8049,Web,276,32,22
Why does the battery drain so fast after the new patch? My phone barely lasts half a day!,Feature Request,29/01/2024 0:24,@user_1872,iPhone,146,47,17
The search function is broken. It doesn’t return relevant results anymore.,Security Issue,5/01/2024 2:55,@user_9386,Android,211,32,13
The last update completely broke Bluetooth connectivity. Devices keep disconnecting randomly!,Discussion,9/01/2024 16:41,@user_6669,Android,57,14,15
The new update is fantastic! The app runs so much smoother now. Great job!,Security Issue,2/01/2024 15:07,@user_2809,Android,213,35,9
Why is the AI assistant so slow to respond? It used to be much faster.,Question,5/01/2024 8:07,@user_2423,Web,47,42,16
Multi-account login would be a game-changer. Any plans to add this?,Feature Request,19/01/2024 6:46,@user_7345,Web,279,28,28
The UI feels laggy after the latest update. Animations take forever to load.,Discussion,3/01/2024 4:12,@user_7606,iPhone,184,41,12
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Discussion,29/01/2024 18:11,@user_1664,iPhone,36,39,11
🚨 Security vulnerability found: Anyone can access user profiles without authentication. @Company please fix this ASAP!,Question,29/01/2024 14:30,@user_6178,Web,174,20,25
Can someone explain the difference between WebSockets and long polling?,Question,22/01/2024 22:42,@user_2498,iPhone,148,19,13
Multi-device support would be a game-changer. Any plans to implement it?,Question,12/01/2024 22:58,@user_7385,Web,48,41,21
Why does the API return a 500 error when querying large datasets? Is there a workaround?,Feature Request,27/01/2024 1:29,@user_8333,Web,80,13,19
Does anyone know how to set up a webhook for real-time notifications?,Performance Issue,24/01/2024 20:27,@user_9091,iPhone,252,19,27
Has anyone tested the latest beta? Is it worth updating?,Feedback,20/01/2024 9:39,@user_9188,Android,214,30,11
Multi-device support would be a game-changer. Any plans to implement it?,Discussion,6/01/2024 16:30,@user_6328,Android,210,8,23
How do I enable 2FA for my account? I can't find the option in settings.,Discussion,9/01/2024 20:37,@user_4248,Web,258,29,27
Loading time increased significantly after the last update. Feels super sluggish now 😕,Question,23/01/2024 7:56,@user_5174,Android,103,32,6
The app crashes on Android 11 when I open settings. Anyone else facing this?,Feature Request,4/01/2024 19:17,@user_8166,iPhone,27,39,28
Great update! The new UI is much smoother. Well done team! 🎉,Feedback,12/01/2024 19:05,@user_4915,iPhone,48,20,7
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Discussion,2/01/2024 16:14,@user_4265,Web,109,17,12
The search function is broken. It doesn’t return relevant results anymore.,Question,10/01/2024 20:36,@user_5811,Android,259,21,4
The app crashes every time I try to upload a photo. Anyone else having this issue?,Bug Report,23/01/2024 13:29,@user_6079,Web,123,30,3
Can someone explain the difference between WebSockets and long polling?,Feedback,29/01/2024 4:14,@user_9136,iPhone,189,6,15
The app crashes on Android 11 when I open settings. Anyone else facing this?,Security Issue,19/01/2024 0:12,@user_6585,Web,226,23,24
🚨 Security vulnerability found: Anyone can access user profiles without authentication. @Company please fix this ASAP!,Feature Request,18/01/2024 8:54,@user_6094,Android,77,15,30
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Security Issue,5/01/2024 23:42,@user_3849,Android,260,27,11
Can someone explain how to use OAuth for third-party API integrations?,Feedback,2/01/2024 0:51,@user_3534,iPhone,290,42,24
Can someone explain how to use OAuth for third-party API integrations?,Question,11/01/2024 11:32,@user_3642,Android,222,43,17
How do I enable 2FA for my account? I can't find the option in settings.,Discussion,20/01/2024 22:44,@user_2452,Web,17,49,19
The app crashes on Android 11 when I open settings. Anyone else facing this?,Question,11/01/2024 20:21,@user_8107,Web,191,35,6
Multi-device support would be a game-changer. Any plans to implement it?,Performance Issue,27/01/2024 7:33,@user_7478,iPhone,183,12,7
I love the new offline mode! Works flawlessly even with large files. 🔥,Discussion,2/01/2024 15:11,@user_3742,Web,167,24,26
The new AI-powered search is amazing! Results are so much more relevant now! 🔥🔥,Security Issue,26/01/2024 21:21,@user_1826,iPhone,130,11,9
🚨 Huge security flaw: Password reset emails contain sensitive user data in plaintext. @Company please fix!,Discussion,13/01/2024 17:35,@user_9875,Web,28,40,3
Is there a way to export my chat history? I need to keep a record of my conversations.,Feedback,26/01/2024 14:56,@user_7384,Web,105,26,29
The new AI recommendations are completely off. They used to be much better!,Feature Request,21/01/2024 7:52,@user_9823,Android,186,29,5
Why does the app log me out randomly? It's really annoying.,Question,25/01/2024 0:01,@user_5646,Web,270,18,11
The latest security update blocks third-party integrations. Not cool. Please reconsider!,Bug Report,15/01/2024 22:49,@user_2591,Android,141,42,16
The app just freezes when I open large files. Happens on both desktop and mobile. Please fix!,Bug Report,4/01/2024 19:16,@user_9949,Web,179,32,16
"We need dark mode support for the mobile app! It’s 2024, why isn't this a thing yet?",Feature Request,22/01/2024 11:43,@user_9804,Web,123,18,9
Can someone explain how to set up a webhook for real-time notifications?,Feedback,10/01/2024 12:21,@user_6486,Web,214,6,30
I love the new offline mode! Works flawlessly even with large files. 🔥,Feature Request,11/01/2024 14:23,@user_6205,iPhone,15,18,9
🚨 Security vulnerability found: Anyone can access user profiles without authentication. @Company please fix this ASAP!,Performance Issue,24/01/2024 16:11,@user_8395,Android,114,19,26
Why was the live chat feature removed? That was the best part of the app!,Security Issue,13/01/2024 15:11,@user_7962,Android,243,42,20
The new voice assistant is way too slow. Takes ages to process commands.,Bug Report,19/01/2024 16:21,@user_7107,iPhone,161,32,12
The last update completely broke Bluetooth connectivity. Devices keep disconnecting randomly!,Feedback,25/01/2024 11:23,@user_2546,Web,241,15,28
The new update is fantastic! The app runs so much smoother now. Great job!,Question,23/01/2024 17:31,@user_3091,Android,15,34,15
The new voice assistant is way too slow. Takes ages to process commands.,Discussion,30/01/2024 0:21,@user_5747,Web,154,11,19
Why does the app log me out randomly? It's really annoying.,Performance Issue,26/01/2024 17:30,@user_4954,Web,197,50,26
Multi-device support would be a game-changer. Any plans to implement it?,Discussion,18/01/2024 14:36,@user_4601,iPhone,282,33,28
The app keeps asking me to log in every time I open it. Super annoying.,Discussion,21/01/2024 10:17,@user_5389,Android,82,40,25
Why was the live chat feature removed? That was the best part of the app!,Discussion,13/01/2024 12:36,@user_7708,Web,260,35,15
🚨 Security vulnerability found: Anyone can access user profiles without authentication. @Company please fix this ASAP!,Bug Report,6/01/2024 1:43,@user_3128,Android,258,7,18
How do I enable end-to-end encryption for my messages?,Bug Report,11/01/2024 3:09,@user_6615,Web,258,39,22
